No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
99,TFC,-4.01%,-8.14%,-7.03%,-18.16%,-18.48%,-21.40%,2.58%,1.90%,2.50,5.47M,0.52,46.74,1.58%,"1,240,219"
100,LNC,-2.48%,0.22%,-19.09%,-20.85%,-31.85%,-32.55%,2.96%,2.74%,2.60,1.67M,0.66,46.77,1.59%,"485,601"
102,IR,-0.38%,-4.26%,-3.37%,6.17%,-9.95%,-22.95%,2.57%,2.34%,2.10,3.07M,0.61,47.81,0.30%,"820,533"
103,VTR,-0.70%,-1.82%,-13.36%,-14.06%,-14.65%,-5.99%,2.29%,2.17%,2.10,1.76M,0.49,48.25,0.40%,"377,133"
104,C,-2.33%,-6.66%,-6.19%,-13.20%,-32.25%,-20.15%,2.48%,2.00%,2.40,19.26M,0.86,48.33,0.22%,"7,201,926"
105,CPB,-4.56%,-1.23%,6.32%,7.23%,13.38%,12.31%,2.82%,1.71%,3.20,2.39M,1.05,48.89,0.16%,"1,096,551"
106,DOW,-9.30%,-5.63%,-27.55%,-16.20%,-21.78%,-14.33%,3.11%,2.19%,2.70,6.04M,0.66,48.94,0.72%,"1,746,506"
107,KR,0.46%,2.69%,-6.96%,-16.08%,4.01%,7.20%,2.27%,2.03%,2.80,5.35M,0.63,48.98,0.95%,"1,483,610"
108,MAS,-3.01%,-6.56%,-13.58%,-5.14%,-19.50%,-29.85%,2.49%,2.45%,2.50,1.95M,0.50,49.90,1.30%,"428,059"
109,FTNT,1.97%,-7.01%,-16.41%,-14.80%,-22.47%,-30.93%,2.94%,2.61%,2.00,5.40M,0.80,49.91,0.52%,"1,883,418"
110,FAST,-1.39%,-5.00%,-8.09%,-7.02%,-10.00%,-21.48%,2.32%,1.94%,3.00,3.14M,0.73,50.60,0.60%,"997,440"
111,TAP,-2.93%,-4.48%,-4.46%,0.17%,9.94%,11.43%,2.29%,1.95%,2.90,1.50M,0.42,51.85,0.40%,"275,301"
112,IRM,-4.22%,-1.09%,-2.56%,1.29%,4.76%,-1.15%,2.73%,2.19%,2.10,1.63M,0.38,52.19,0.90%,"270,938"
113,LKQ,-4.79%,-6.92%,-1.95%,19.62%,0.85%,-14.59%,2.71%,1.93%,1.70,1.46M,1.07,52.35,2.11%,"679,237"
114,MOS,-10.49%,3.43%,-9.32%,-11.66%,67.99%,37.46%,4.12%,3.40%,2.50,6.01M,0.54,53.12,-1.65%,"1,420,166"
115,SEE,-3.69%,-5.43%,-17.50%,-14.03%,-14.31%,-22.25%,2.42%,2.26%,2.40,974.01K,0.35,53.21,1.43%,"148,696"
116,AIG,-0.83%,1.02%,-11.24%,-4.23%,-4.97%,-7.91%,2.66%,2.13%,2.40,4.57M,0.89,53.37,1.93%,"1,782,781"
117,PVH,-14.76%,-16.37%,-24.24%,-19.63%,-53.26%,-49.52%,6.51%,4.46%,2.50,1.23M,1.15,54.04,0.37%,"617,034"
118,MTCH,-6.82%,-20.58%,-35.08%,-39.64%,-63.68%,-59.30%,4.57%,4.19%,1.80,3.09M,0.75,54.92,2.02%,"1,018,450"
119,DD,-6.37%,-7.86%,-19.83%,-21.46%,-24.74%,-32.84%,3.12%,2.45%,2.20,2.81M,0.51,55.06,1.49%,"623,605"
120,MU,-3.12%,-11.58%,-21.60%,-27.04%,-25.17%,-40.71%,3.80%,3.52%,2.10,16.82M,1.00,55.17,-0.12%,"7,349,877"
122,L,-2.04%,0.38%,-14.20%,-7.29%,1.04%,-4.21%,1.97%,1.48%,3.00,864.08K,0.74,55.71,0.69%,"279,438"
123,JCI,1.03%,-0.20%,-0.02%,-8.82%,-26.70%,-32.37%,2.83%,2.36%,-,4.08M,0.87,55.90,1.65%,"1,554,863"
124,AOS,-3.14%,-7.77%,-9.67%,-16.98%,-23.69%,-34.90%,2.07%,2.02%,2.60,891.51K,0.74,56.43,0.97%,"290,399"
125,BAX,-4.09%,-6.71%,-24.61%,-35.68%,-33.91%,-36.32%,2.67%,2.33%,2.10,3.11M,1.94,57.58,5.34%,"2,636,228"
126,BALL,-2.22%,-1.45%,-24.71%,-38.08%,-42.97%,-42.31%,2.33%,2.64%,2.40,2.40M,0.90,57.61,3.73%,"940,498"
127,WYNN,-6.75%,-12.76%,-12.93%,-19.25%,-41.97%,-31.56%,4.40%,3.72%,2.40,2.74M,0.44,59.08,1.52%,"531,934"
128,DRE,-2.68%,-5.73%,10.47%,7.41%,9.21%,-10.79%,2.64%,2.09%,-,2.66M,0.51,59.19,1.08%,"596,346"
129,OKE,-7.66%,1.73%,-11.29%,-13.06%,12.02%,1.36%,2.43%,2.16%,2.60,2.71M,0.55,59.94,0.64%,"651,367"
130,CDAY,-1.13%,-8.21%,6.47%,-6.07%,-48.52%,-42.85%,4.05%,3.20%,-,1.42M,0.44,60.32,1.04%,"273,540"
131,AFL,-2.12%,0.17%,0.63%,0.85%,6.86%,1.95%,1.88%,1.67%,2.90,2.36M,0.76,60.42,1.50%,"783,214"
132,MDLZ,-3.97%,-5.91%,-3.92%,-4.05%,-2.79%,-9.52%,2.04%,1.63%,1.90,6.46M,0.94,60.42,0.70%,"2,664,368"
133,TRMB,-7.08%,-11.57%,-11.89%,-5.23%,-36.52%,-30.93%,2.96%,2.44%,2.10,1.00M,1.09,60.73,0.85%,"476,569"
134,FBHS,-4.03%,-11.01%,-15.47%,-26.13%,-39.03%,-44.02%,2.68%,2.80%,2.40,1.13M,0.72,61.10,2.11%,"354,233"
135,CTVA,-2.57%,4.18%,-2.27%,17.77%,34.28%,27.58%,2.02%,1.84%,2.30,3.26M,0.43,61.52,1.99%,"608,487"
136,NDAQ,1.54%,-0.12%,18.01%,8.01%,-8.40%,-13.40%,2.07%,1.74%,2.10,2.52M,0.49,61.60,1.62%,"536,577"
137,REG,-1.34%,-2.39%,-5.56%,-6.99%,-11.54%,-18.59%,2.13%,1.73%,2.40,835.69K,0.64,61.60,0.42%,"233,677"
138,KO,-2.47%,-3.47%,-2.69%,0.16%,7.84%,3.33%,1.74%,1.38%,2.10,13.21M,0.78,61.81,1.04%,"4,500,299"
139,LNT,-2.14%,-0.20%,-2.19%,0.66%,-0.50%,-0.50%,2.05%,1.61%,2.50,1.33M,0.48,62.41,2.04%,"275,970"
140,TXT,-3.82%,-3.84%,-8.03%,-8.90%,-14.64%,-19.78%,2.40%,1.94%,-,1.05M,0.38,63.01,1.74%,"173,749"
142,FTV,-1.78%,-3.37%,0.11%,9.16%,-16.46%,-17.33%,2.10%,1.59%,2.10,1.89M,0.37,63.86,1.26%,"309,632"
143,GILD,1.51%,3.76%,2.19%,5.19%,-11.91%,-12.70%,2.17%,1.80%,2.60,6.58M,1.17,64.19,1.27%,"3,358,789"
144,BRO,-1.57%,-2.37%,7.54%,-4.33%,7.50%,-9.85%,2.13%,1.62%,2.60,1.10M,0.43,64.33,1.53%,"205,856"
145,TJX,-0.36%,0.11%,1.88%,7.82%,-11.51%,-17.16%,2.44%,2.72%,2.00,5.73M,0.59,64.59,2.71%,"1,471,988"
146,MCHP,-1.48%,-10.79%,-9.23%,-2.13%,-18.70%,-26.77%,3.35%,3.17%,2.10,4.68M,0.50,64.90,1.80%,"1,026,222"
